firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou,HomeDirectory,Manager,Name,Office,HomeDrive,ProfilePath
Herman,H.D.J.,Bommel,Her_Bom,Her_Bom@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Productie,Pa$$w0rd,214-800-4199,Medewerker,Aventus174376,"OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Her_Bom,Dick Brinkman,Herman Bommel,W03,Z:,\\DC174376\UserProfiles$\%Username%
Doortje,D,Heijnen,Doo_Hei,Doo_Hei@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Productie,Pa$$w0rd,214-800-4163,Medewerker,Aventus174376,"OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Doo_Hei,Dick Brinkman,Doortje Heijnen,B08,Z:,\\DC174376\UserProfiles$\%Username%
Peter,P,Carprieaux,Pet_Car,Pet_Car@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Productie,Pa$$w0rd,214-800-4218,Hoofd,Aventus174376,"OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Pet_Car,Dick Brinkman,Peter Carprieaux,W01,Z:,\\DC174376\UserProfiles$\%Username%
Will,W,Snellen,Wil_Sne,Wil_Sne@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Chef,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Wil_Sne,Peter Carprieaux,Will Snellen,W05,Z:,\\DC174376\UserProfiles$\%Username%
Herbert,H,Schumacker,Her_Sch,Her_Sch@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Her_Sch,Wil Snellen,Herbert Schumacker,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Douwe,D,Muilenburg,Dou_Mui,Dou_Mui@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Dou_Mui,Wil Snellen,Douwe Muilenburg,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Ruud,R,Zee,Ruu_Zee,Ruu_Zee@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Ruu_Zee,Wil Snellen,Ruud Van Zee,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Guido,G.J.J.,essen,Gui_Ess,Gui_Ess@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Gui_Ess,Wil Snellen,Guido Van Essen,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Johan,J,Hiniker,Joh_Hin,Joh_Hin@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Joh_Hin,Wil Snellen,Johan Hiniker,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Jozef,J,Mier,Joz_Mie,Joz_Mie@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Joz_Mie,Wil Snellen,Jozef Mier,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Wilhelmus,W.J.P.,Limmer,Wil_Lim,Wil_Lim@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Wil_Lim,Wil Snellen,Wilhelmus Limmer,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Hans,H.W.P.,Slyke,Han_Sly,Han_Sly@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Han_Sly,Wil Snellen,Hans Van Slyke,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Pier,P.J.G.,Steketee,Pie_Ste,Pie_Ste@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Pie_Ste,Wil Snellen,Pier Steketee,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Arjen,A.J.J.,Leick,Arj_Lei,Arj_Lei@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Arj_Lei,Wil Snellen,Arjen Leick,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Guus,G.J.B.,Pleines,Guu_Ple,Guu_Ple@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Guu_Ple,Wil Snellen,Guus Pleines,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Rien,R.B.W.,Bolmer,Rie_Bol,Rie_Bol@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Rie_Bol,Wil Snellen,Rien Bolmer,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Petr,P,Weyer,Pet_Wey,Pet_Wey@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Pet_Wey,Wil Snellen,Peter Weyer,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Anton,A,Mentink,Ant_Men,Ant_Men@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Ant_Men,Wil Snellen,Anton Mentink,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Ijsbrand,I.J.C.,Bomgaars,Ijs_Bom,Ijs_Bom@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Ijs_Bom,Wil Snellen,IJsbrand Bomgaars,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
bernard,B.G.J.,Louks,Ber_Lou,Ber_Lou@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Ber_Lou,Wil Snellen,Bernhard Louks,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Klaas,K,Lust,Kla_Lus,Kla_Lus@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Kla_Lus,Wil Snellen,Klaas Lust,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Jaap,J,Vandersloot,Jaa_Van,Jaa_Van@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Jaa_Van,Wil Snellen,Jaap Vandersloot,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Pieter,R,Pals,Pie_Pal,Pie_Pal@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Pie_Pal,Wil Snellen,Pieter Pals,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Pier,P.B.J.,Steketee,Pie_Ste,Pie_Ste@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4200,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Pie_Ste,Wil Snellen,Pier Steketee,Werkplaats,Z:,\\DC174376\UserProfiles$\%Username%
Niels,N.J.P.,Smets,Nie_Sme,Nie_Sme@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4251,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Nie_Sme,Peter Carprieaux,Niels Smets,W02,Z:,\\DC174376\UserProfiles$\%Username%
Floris,F.L.D.,Flipse,Flo_Fli,Flo_Fli@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,FabricageBudel,Pa$$w0rd,214-800-4266,Chef,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Flo_Fli,Peter Carprieaux,Floris Flipse,W06,Z:,\\DC174376\UserProfiles$\%Username%
Wim,W,Snel,Wim_Sne,Wim_Sne@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Onderhoud,Pa$$w0rd,214-800-4266,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Wim_Sne,Floris Flipse,Win Snel,Onderhoud,Z:,\\DC174376\UserProfiles$\%Username%
Fons,F,Wiegers,Fon_Wie,Fon_Wie@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Onderhoud,Pa$$w0rd,214-800-4266,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Fon_Wie,Floris Flipse,Fons Wiegers,Onderhoud,Z:,\\DC174376\UserProfiles$\%Username%
Bart,B.J.G.,Boer,Bart_Boe,Bart_Boe@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Onderhoud,Pa$$w0rd,214-800-4266,Medewerker,Aventus174376,"OU=FabricageBudel,OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Bart_Boe,Floris Flipse,Bart de Boer,Onderhoud,Z:,\\DC174376\UserProfiles$\%Username%
Fons,F,Willemsen,Fon_Wil,Fon_Wil@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Automatisering,Pa$$w0rd,214-800-4208,Medewerker,Aventus174376,"OU=Automatisering,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Fon_Wil,Jolanda Brands,Fons Willemsen,B18,Z:,\\DC174376\UserProfiles$\%Username%
Jan,J.W.J.,Smets,Jan_Sme,Jan_Sme@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Automatisering,Pa$$w0rd,214-800-4171,Medewerker,Aventus174376,"OU=Automatisering,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Jan_Sme,Jolanda Brands,Jan Smets,B18,Z:,\\DC174376\UserProfiles$\%Username%
